Year_Month,Year,Month,Month_Name,Cohort_ID,City_Tier,Monthly_Income_INR,Essential_Groceries_INR,Essential_Rent_INR,Essential_Utilities_INR,Essential_Healthcare_INR,Essential_Education_INR,Discretionary_Dining_INR,Discretionary_Shopping_INR,Discretionary_Entertainment_INR,Festive_Seasonal_Expense_INR,Total_Monthly_Expenses_INR,Monthly_Savings_INR,Inflation_CPI_Pct,Festival_Season_Flag
2024-01,2024,1,Jan,COHORT_001,Tier 1,217000,33700,61000,10800,6400,8700,8900,11000,7200,0,147700,69300,4.98,0
2024-02,2024,2,Feb,COHORT_001,Tier 1,217000,35800,61000,10800,8000,8700,12200,12600,4600,0,153700,63300,4.41,0
2024-03,2024,3,Mar,COHORT_001,Tier 1,217000,33300,61000,10800,6600,8700,13500,14800,8000,42994,199694,17306,4.47,1
2024-04,2024,4,Apr,COHORT_001,Tier 1,217000,38600,61000,10800,4400,8700,9500,12900,4700,0,150600,66400,4.85,0
2024-05,2024,5,May,COHORT_001,Tier 1,217000,35500,61000,15200,7700,8700,9700,8000,4700,0,150500,66500,4.84,0
2024-06,2024,6,Jun,COHORT_001,Tier 1,217000,38000,61000,15200,5900,21700,11400,12500,5100,0,170800,46200,4.49,0
2024-07,2024,7,Jul,COHORT_001,Tier 1,217000,34800,61000,15200,8300,21700,13400,11100,8500,0,174000,43000,4.81,0
2024-08,2024,8,Aug,COHORT_001,Tier 1,217000,31500,61000,10800,4800,8700,13100,8800,8200,0,146900,70100,5.19,0
2024-09,2024,9,Sep,COHORT_001,Tier 1,217000,35800,61000,10800,5200,8700,9900,10300,7300,0,149000,68000,4.62,0
2024-10,2024,10,Oct,COHORT_001,Tier 1,217000,37300,61000,10800,5500,8700,20000,13700,8400,51576,216976,24,5.08,1
2024-11,2024,11,Nov,COHORT_001,Tier 1,217000,35400,61000,10800,5100,8700,14300,10300,6900,49368,201868,15132,4.96,1
2024-12,2024,12,Dec,COHORT_001,Tier 1,217000,32800,61000,10800,6700,8700,9100,7700,8400,0,145200,71800,4.53,0
2025-01,2025,1,Jan,COHORT_001,Tier 1,231000,39800,64500,11600,6200,9200,13300,9000,5400,0,159000,72000,4.16,0
2025-02,2025,2,Feb,COHORT_001,Tier 1,231000,33400,64500,11600,6800,9200,11200,9500,4900,0,151100,79900,4.38,0
2025-03,2025,3,Mar,COHORT_001,Tier 1,231000,37100,64500,11600,4900,9200,16400,12900,5100,56409,218109,12891,4.85,1
2025-04,2025,4,Apr,COHORT_001,Tier 1,231000,32400,64500,11600,6900,9200,10000,9300,9100,0,153000,78000,4.67,0
2025-05,2025,5,May,COHORT_001,Tier 1,231000,36400,64500,16200,5500,9200,16000,8000,4900,0,160700,70300,4.81,0
2025-06,2025,6,Jun,COHORT_001,Tier 1,231000,41500,64500,16200,6800,23100,14400,9900,7200,0,183600,47400,4.4,0
2025-07,2025,7,Jul,COHORT_001,Tier 1,231000,34100,64500,16200,6800,23100,12700,8200,8700,0,174300,56700,4.77,0
2025-08,2025,8,Aug,COHORT_001,Tier 1,231000,39200,64500,11600,5300,9200,9300,8700,6600,0,154400,76600,4.56,0
2025-09,2025,9,Sep,COHORT_001,Tier 1,231000,39200,64500,11600,7100,9200,15400,13200,8800,0,169000,62000,4.81,0
2025-10,2025,10,Oct,COHORT_001,Tier 1,231000,33000,64500,11600,6600,9200,23400,17100,5700,29257,200357,30643,4.66,1
2025-11,2025,11,Nov,COHORT_001,Tier 1,231000,39000,64500,11600,6400,9200,14800,19900,6800,52264,224464,6536,4.14,1
2025-12,2025,12,Dec,COHORT_001,Tier 1,231000,33700,64500,11600,6000,9200,9500,8100,5400,0,148000,83000,4.11,0
2021-01,2021,1,Jan,COHORT_002,Tier 1,56000,9100,15500,2800,2100,2200,2300,3000,2200,0,39200,16800,4.77,0
2021-02,2021,2,Feb,COHORT_002,Tier 1,56000,9400,15500,2800,1800,2200,3600,2100,2000,0,39400,16600,5.42,0
2021-03,2021,3,Mar,COHORT_002,Tier 1,56000,9700,15500,2800,2000,2200,4300,2500,1200,7219,47419,8581,5.4,1
2021-04,2021,4,Apr,COHORT_002,Tier 1,56000,9200,15500,2800,1400,2200,3000,2100,1400,0,37600,18400,5.07,0
2021-05,2021,5,May,COHORT_002,Tier 1,56000,9100,15500,3900,1700,2200,3600,2600,2200,0,40800,15200,4.76,0
2021-06,2021,6,Jun,COHORT_002,Tier 1,56000,9900,15500,3900,2200,5600,2300,1900,1400,0,42700,13300,5.08,0
2021-07,2021,7,Jul,COHORT_002,Tier 1,56000,8700,15500,3900,2100,5600,3500,1700,2000,0,43000,13000,5.09,0
2021-08,2021,8,Aug,COHORT_002,Tier 1,56000,9300,15500,2800,1600,2200,3000,1900,1600,0,37900,18100,5.07,0
2021-09,2021,9,Sep,COHORT_002,Tier 1,56000,7900,15500,2800,2100,2200,3100,2300,1500,0,37400,18600,5.37,0
2021-10,2021,10,Oct,COHORT_002,Tier 1,56000,9600,15500,2800,1800,2200,3500,4800,1500,8965,50665,5335,4.75,1
2021-11,2021,11,Nov,COHORT_002,Tier 1,56000,8100,15500,2800,1900,2200,4900,3200,1700,11409,51709,4291,5.35,1
2021-12,2021,12,Dec,COHORT_002,Tier 1,56000,8100,15500,2800,1800,2200,2700,3300,1900,0,38300,17700,4.86,0
2022-01,2022,1,Jan,COHORT_002,Tier 1,61000,9200,17000,3000,1400,2400,3800,3000,2400,0,42200,18800,6.93,0
2022-02,2022,2,Feb,COHORT_002,Tier 1,61000,10800,17000,3000,1200,2400,3400,2100,2200,0,42100,18900,6.65,0
2022-03,2022,3,Mar,COHORT_002,Tier 1,61000,11000,17000,3000,2300,2400,4400,2800,1600,7956,52456,8544,6.78,1
2022-04,2022,4,Apr,COHORT_002,Tier 1,61000,10100,17000,3000,2200,2400,3800,2600,2000,0,43100,17900,6.62,0
2022-05,2022,5,May,COHORT_002,Tier 1,61000,8600,17000,4300,2100,2400,3700,3300,1600,0,43000,18000,6.7,0
2022-06,2022,6,Jun,COHORT_002,Tier 1,61000,9800,17000,4300,1800,6100,2900,2800,2400,0,47100,13900,6.39,0
2022-07,2022,7,Jul,COHORT_002,Tier 1,61000,9600,17000,4300,1800,6100,2900,2200,1600,0,45500,15500,6.72,0
2022-08,2022,8,Aug,COHORT_002,Tier 1,61000,10500,17000,3000,2100,2400,2500,3500,2400,0,43400,17600,6.93,0
2022-09,2022,9,Sep,COHORT_002,Tier 1,61000,8900,17000,3000,2400,2400,3400,3400,1800,0,42300,18700,6.92,0
2022-10,2022,10,Oct,COHORT_002,Tier 1,61000,9200,17000,3000,1900,2400,6400,3000,1900,8025,52825,8175,7.08,1
2022-11,2022,11,Nov,COHORT_002,Tier 1,61000,10700,17000,3000,2100,2400,5500,2900,1600,8231,53431,7569,6.79,1
2022-12,2022,12,Dec,COHORT_002,Tier 1,61000,9700,17000,3000,2000,2400,4100,2500,2000,0,42700,18300,6.6,0
2023-01,2023,1,Jan,COHORT_002,Tier 1,65000,11300,18000,3200,2400,2600,3100,2000,2200,0,44800,20200,5.34,0
2023-02,2023,2,Feb,COHORT_002,Tier 1,65000,11300,18000,3200,2500,2600,2600,2900,1700,0,44800,20200,5.41,0
2023-03,2023,3,Mar,COHORT_002,Tier 1,65000,11600,18000,3200,2600,2600,3500,3100,1600,11257,57457,7543,5.73,1
2023-04,2023,4,Apr,COHORT_002,Tier 1,65000,10300,18000,3200,2100,2600,2700,3300,2600,0,44800,20200,5.64,0
2023-05,2023,5,May,COHORT_002,Tier 1,65000,11200,18000,4600,1900,2600,3000,3100,2300,0,46700,18300,5.38,0
2023-06,2023,6,Jun,COHORT_002,Tier 1,65000,9600,18000,4600,2000,6500,3700,2300,2200,0,48900,16100,5.77,0
2023-07,2023,7,Jul,COHORT_002,Tier 1,65000,10000,18000,4600,2100,6500,4400,3600,1800,0,51000,14000,5.75,0
2023-08,2023,8,Aug,COHORT_002,Tier 1,65000,11600,18000,3200,1600,2600,3000,3700,2500,0,46200,18800,5.59,0
2023-09,2023,9,Sep,COHORT_002,Tier 1,65000,10100,18000,3200,1600,2600,2900,2300,1800,0,42500,22500,5.18,0
2023-10,2023,10,Oct,COHORT_002,Tier 1,65000,10000,18000,3200,1800,2600,5400,4400,1600,15648,62648,2352,5.65,1
2023-11,2023,11,Nov,COHORT_002,Tier 1,65000,10300,18000,3200,2300,2600,6100,3800,2500,16226,65026,0,5.68,1
2023-12,2023,12,Dec,COHORT_002,Tier 1,65000,10400,18000,3200,2000,2600,3100,2900,1400,0,43600,21400,5.3,0
2024-01,2024,1,Jan,COHORT_002,Tier 1,70000,11500,19500,3500,1800,2800,3400,2800,2400,0,47700,22300,5.03,0
2024-02,2024,2,Feb,COHORT_002,Tier 1,70000,12200,19500,3500,1600,2800,3300,3900,2700,0,49500,20500,4.79,0
2024-03,2024,3,Mar,COHORT_002,Tier 1,70000,12400,19500,3500,2000,2800,5200,4300,2700,11187,63587,6413,4.73,1
2024-04,2024,4,Apr,COHORT_002,Tier 1,70000,11200,19500,3500,2200,2800,4300,2400,1700,0,47600,22400,4.81,0
2024-05,2024,5,May,COHORT_002,Tier 1,70000,10900,19500,4900,1700,2800,4600,4100,1400,0,49900,20100,4.48,0
2024-06,2024,6,Jun,COHORT_002,Tier 1,70000,11700,19500,4900,2200,7000,3200,3500,2200,0,54200,15800,4.98,0
2024-07,2024,7,Jul,COHORT_002,Tier 1,70000,11800,19500,4900,2700,7000,2900,2200,1900,0,52900,17100,4.74,0
2024-08,2024,8,Aug,COHORT_002,Tier 1,70000,11600,19500,3500,2000,2800,4500,3500,2200,0,49600,20400,4.93,0
2024-09,2024,9,Sep,COHORT_002,Tier 1,70000,10900,19500,3500,1500,2800,3900,3000,2200,0,47300,22700,5.11,0
2024-10,2024,10,Oct,COHORT_002,Tier 1,70000,10500,19500,3500,2600,2800,6500,5800,2700,16111,70011,0,4.94,1
2024-11,2024,11,Nov,COHORT_002,Tier 1,70000,12500,19500,3500,2400,2800,6100,6100,1400,17186,71486,0,5.0,1
2024-12,2024,12,Dec,COHORT_002,Tier 1,70000,10000,19500,3500,2500,2800,2900,3500,2700,0,47400,22600,4.59,0
2025-01,2025,1,Jan,COHORT_002,Tier 1,74000,10500,20500,3700,2700,3000,4100,3400,2300,0,50200,23800,4.77,0
2025-02,2025,2,Feb,COHORT_002,Tier 1,74000,10500,20500,3700,1800,3000,3300,3400,2000,0,48200,25800,4.79,0
2025-03,2025,3,Mar,COHORT_002,Tier 1,74000,13100,20500,3700,2700,3000,4200,3700,2700,15264,68864,5136,4.86,1
2025-04,2025,4,Apr,COHORT_002,Tier 1,74000,13000,20500,3700,1800,3000,3300,4200,2600,0,52100,21900,4.5,0
2025-05,2025,5,May,COHORT_002,Tier 1,74000,12100,20500,5200,1700,3000,4900,2500,2300,0,52200,21800,4.87,0
2025-06,2025,6,Jun,COHORT_002,Tier 1,74000,12100,20500,5200,1800,7400,4800,2900,1500,0,56200,17800,4.46,0
2025-07,2025,7,Jul,COHORT_002,Tier 1,74000,12200,20500,5200,2000,7400,4400,2400,2200,0,56300,17700,4.79,0
2025-08,2025,8,Aug,COHORT_002,Tier 1,74000,12100,20500,3700,2500,3000,4500,3100,1800,0,51200,22800,4.82,0
2025-09,2025,9,Sep,COHORT_002,Tier 1,74000,10500,20500,3700,1900,3000,4200,4200,2900,0,50900,23100,4.42,0
2025-10,2025,10,Oct,COHORT_002,Tier 1,74000,11900,20500,3700,2000,3000,5300,4200,2400,16563,69563,4437,4.76,1
2025-11,2025,11,Nov,COHORT_002,Tier 1,74000,11300,20500,3700,1700,3000,5500,4700,1800,17206,69406,4594,4.48,1
2025-12,2025,12,Dec,COHORT_002,Tier 1,74000,11100,20500,3700,2900,3000,3100,3800,1900,0,50000,24000,4.18,0
2021-01,2021,1,Jan,COHORT_003,Tier 3,78000,13500,14000,3900,1800,3100,3800,3900,2100,0,46100,31900,5.3,0
2021-02,2021,2,Feb,COHORT_003,Tier 3,78000,13500,14000,3900,3100,3100,5200,3800,2800,0,49400,28600,5.34,0
2021-03,2021,3,Mar,COHORT_003,Tier 3,78000,12800,14000,3900,1600,3100,3800,3100,2500,10721,55521,22479,5.09,1
2021-04,2021,4,Apr,COHORT_003,Tier 3,78000,13200,14000,3900,1700,3100,4300,3900,1700,0,45800,32200,5.01,0
2021-05,2021,5,May,COHORT_003,Tier 3,78000,12200,14000,5500,2200,3100,3700,2400,1600,0,44700,33300,4.91,0
2021-06,2021,6,Jun,COHORT_003,Tier 3,78000,13100,14000,5500,2600,7800,4200,4100,2300,0,53600,24400,4.99,0
2021-07,2021,7,Jul,COHORT_003,Tier 3,78000,11700,14000,5500,2100,7800,3700,3100,2700,0,50600,27400,5.04,0
2021-08,2021,8,Aug,COHORT_003,Tier 3,78000,11400,14000,3900,1800,3100,4400,4000,2300,0,44900,33100,5.44,0
2021-09,2021,9,Sep,COHORT_003,Tier 3,78000,12100,14000,3900,1600,3100,4300,4200,3000,0,46200,31800,5.16,0
2021-10,2021,10,Oct,COHORT_003,Tier 3,78000,12700,14000,3900,3000,3100,5000,4100,1700,11656,59156,18844,5.14,1
2021-11,2021,11,Nov,COHORT_003,Tier 3,78000,12100,14000,3900,2000,3100,6600,6600,2500,18674,69474,8526,4.75,1
2021-12,2021,12,Dec,COHORT_003,Tier 3,78000,11900,14000,3900,2400,3100,4500,3300,2200,0,45300,32700,5.14,0
2022-01,2022,1,Jan,COHORT_003,Tier 3,85000,13200,15500,4200,2300,3400,5100,4100,2200,0,50000,35000,6.6,0
2022-02,2022,2,Feb,COHORT_003,Tier 3,85000,14300,15500,4200,2700,3400,4600,3700,2300,0,50700,34300,7.03,0
2022-03,2022,3,Mar,COHORT_003,Tier 3,85000,14500,15500,4200,2000,3400,5000,3200,1800,17910,67510,17490,6.41,1
2022-04,2022,4,Apr,COHORT_003,Tier 3,85000,14000,15500,4200,3200,3400,3500,2800,1700,0,48300,36700,6.64,0
2022-05,2022,5,May,COHORT_003,Tier 3,85000,13900,15500,6000,3100,3400,3800,2800,3000,0,51500,33500,6.67,0
2022-06,2022,6,Jun,COHORT_003,Tier 3,85000,14500,15500,6000,1800,8500,4200,3200,2000,0,55700,29300,6.71,0
2022-07,2022,7,Jul,COHORT_003,Tier 3,85000,12400,15500,6000,3300,8500,5900,4300,2600,0,58500,26500,6.59,0
2022-08,2022,8,Aug,COHORT_003,Tier 3,85000,13400,15500,4200,2600,3400,3900,2800,2900,0,48700,36300,7.07,0
2022-09,2022,9,Sep,COHORT_003,Tier 3,85000,12400,15500,4200,1800,3400,5200,3100,2500,0,48100,36900,6.81,0
2022-10,2022,10,Oct,COHORT_003,Tier 3,85000,13200,15500,4200,1800,3400,6800,4800,2500,20254,72454,12546,6.77,1
2022-11,2022,11,Nov,COHORT_003,Tier 3,85000,12600,15500,4200,3200,3400,7700,7300,2000,16095,71995,13005,6.99,1
2022-12,2022,12,Dec,COHORT_003,Tier 3,85000,14600,15500,4200,2300,3400,5300,4000,1900,0,51200,33800,6.52,0
2023-01,2023,1,Jan,COHORT_003,Tier 3,91000,16300,16500,4600,2300,3600,6200,3500,2800,0,55800,35200,5.1,0
2023-02,2023,2,Feb,COHORT_003,Tier 3,91000,13800,16500,4600,1800,3600,5100,3500,3200,0,52100,38900,5.58,0
2023-03,2023,3,Mar,COHORT_003,Tier 3,91000,14300,16500,4600,2300,3600,4800,6400,2400,12744,67644,23356,5.6,1
2023-04,2023,4,Apr,COHORT_003,Tier 3,91000,16000,16500,4600,1900,3600,6000,3800,2200,0,54600,36400,5.62,0
2023-05,2023,5,May,COHORT_003,Tier 3,91000,13900,16500,6400,2700,3600,5500,3000,3600,0,55200,35800,5.77,0
2023-06,2023,6,Jun,COHORT_003,Tier 3,91000,14700,16500,6400,1800,9100,4800,4300,2800,0,60400,30600,5.27,0
2023-07,2023,7,Jul,COHORT_003,Tier 3,91000,14000,16500,6400,3000,9100,6100,4500,2100,0,61700,29300,5.73,0
2023-08,2023,8,Aug,COHORT_003,Tier 3,91000,14200,16500,4600,2300,3600,3800,5100,2300,0,52400,38600,5.33,0
2023-09,2023,9,Sep,COHORT_003,Tier 3,91000,14600,16500,4600,1900,3600,5100,5300,2500,0,54100,36900,5.19,0
2023-10,2023,10,Oct,COHORT_003,Tier 3,91000,13900,16500,4600,2500,3600,8800,5100,2400,11277,68677,22323,5.37,1
2023-11,2023,11,Nov,COHORT_003,Tier 3,91000,14100,16500,4600,3000,3600,8200,4600,2300,21394,78294,12706,5.47,1
2023-12,2023,12,Dec,COHORT_003,Tier 3,91000,12800,16500,4600,3000,3600,4800,3400,2800,0,51500,39500,5.24,0
2024-01,2024,1,Jan,COHORT_003,Tier 3,97000,14200,17500,4800,2100,3900,4000,3900,3400,0,53800,43200,4.82,0
2024-02,2024,2,Feb,COHORT_003,Tier 3,97000,16000,17500,4800,3600,3900,6100,3700,2000,0,57600,39400,4.69,0
2024-03,2024,3,Mar,COHORT_003,Tier 3,97000,17100,17500,4800,3200,3900,5400,5700,2700,17151,77451,19549,5.14,1
2024-04,2024,4,Apr,COHORT_003,Tier 3,97000,14800,17500,4800,2200,3900,5000,3100,3400,0,54700,42300,4.79,0
2024-05,2024,5,May,COHORT_003,Tier 3,97000,17300,17500,6800,3600,3900,5600,3700,2600,0,61000,36000,4.64,0
2024-06,2024,6,Jun,COHORT_003,Tier 3,97000,15200,17500,6800,2300,9700,4500,3100,3900,0,63000,34000,5.19,0
2024-07,2024,7,Jul,COHORT_003,Tier 3,97000,14400,17500,6800,3300,9700,5900,5000,3000,0,65600,31400,4.49,0
2024-08,2024,8,Aug,COHORT_003,Tier 3,97000,17300,17500,4800,2000,3900,5500,4300,3700,0,59000,38000,5.17,0
2024-09,2024,9,Sep,COHORT_003,Tier 3,97000,17100,17500,4800,2000,3900,4000,4200,2900,0,56400,40600,5.17,0
2024-10,2024,10,Oct,COHORT_003,Tier 3,97000,15900,17500,4800,3500,3900,6200,6900,2700,21412,82812,14188,4.76,1
2024-11,2024,11,Nov,COHORT_003,Tier 3,97000,13600,17500,4800,3700,3900,9600,8500,2900,18034,82534,14466,5.14,1
2024-12,2024,12,Dec,COHORT_003,Tier 3,97000,16800,17500,4800,3800,3900,5100,3000,3000,0,57900,39100,4.58,0
2025-01,2025,1,Jan,COHORT_003,Tier 3,104000,16800,18500,5200,3500,4200,5700,5600,3300,0,62800,41200,4.14,0
2025-02,2025,2,Feb,COHORT_003,Tier 3,104000,18100,18500,5200,2600,4200,5300,3700,3300,0,60900,43100,4.32,0
2025-03,2025,3,Mar,COHORT_003,Tier 3,104000,18600,18500,5200,3200,4200,6900,5500,2600,24319,89019,14981,4.3,1
2025-04,2025,4,Apr,COHORT_003,Tier 3,104000,15900,18500,5200,2500,4200,5700,6200,3600,0,61800,42200,4.11,0
2025-05,2025,5,May,COHORT_003,Tier 3,104000,18000,18500,7300,2800,4200,4900,6000,3200,0,64900,39100,4.56,0
2025-06,2025,6,Jun,COHORT_003,Tier 3,104000,15200,18500,7300,2100,10400,4800,5700,2200,0,66200,37800,4.11,0
2025-07,2025,7,Jul,COHORT_003,Tier 3,104000,18400,18500,7300,3300,10400,5300,4800,4000,0,72000,32000,4.42,0
2025-08,2025,8,Aug,COHORT_003,Tier 3,104000,18100,18500,5200,3100,4200,5700,4100,2800,0,61700,42300,4.38,0
2025-09,2025,9,Sep,COHORT_003,Tier 3,104000,16000,18500,5200,3400,4200,4400,5300,3900,0,60900,43100,4.78,0
2025-10,2025,10,Oct,COHORT_003,Tier 3,104000,18400,18500,5200,4000,4200,6700,5400,3700,14353,80453,23547,4.34,1
2025-11,2025,11,Nov,COHORT_003,Tier 3,104000,16300,18500,5200,3100,4200,9500,8600,3400,21931,90731,13269,4.17,1
2025-12,2025,12,Dec,COHORT_003,Tier 3,104000,16600,18500,5200,2200,4200,6900,5100,2900,0,61600,42400,4.32,0
2021-01,2021,1,Jan,COHORT_004,Tier 1,86000,15200,24000,4300,2800,3400,4700,4800,3400,0,62600,23400,5.17,0
2021-02,2021,2,Feb,COHORT_004,Tier 1,86000,15300,24000,4300,2200,3400,4400,3800,3000,0,60400,25600,4.77,0
2021-03,2021,3,Mar,COHORT_004,Tier 1,86000,13700,24000,4300,2700,3400,4300,4200,2100,12275,70975,15025,4.99,1
2021-04,2021,4,Apr,COHORT_004,Tier 1,86000,13200,24000,4300,2100,3400,4000,3100,2200,0,56300,29700,5.38,0
2021-05,2021,5,May,COHORT_004,Tier 1,86000,13900,24000,6000,2800,3400,5000,2600,3100,0,60800,25200,5.3,0
2021-06,2021,6,Jun,COHORT_004,Tier 1,86000,15200,24000,6000,2000,8600,3900,4900,1800,0,66400,19600,4.81,0
2021-07,2021,7,Jul,COHORT_004,Tier 1,86000,13600,24000,6000,3100,8600,4400,3600,3200,0,66500,19500,5.0,0
2021-08,2021,8,Aug,COHORT_004,Tier 1,86000,14000,24000,4300,3400,3400,4700,3800,2200,0,59800,26200,4.78,0
2021-09,2021,9,Sep,COHORT_004,Tier 1,86000,14600,24000,4300,2300,3400,4200,2800,3400,0,59000,27000,4.84,0
2021-10,2021,10,Oct,COHORT_004,Tier 1,86000,14800,24000,4300,2200,3400,8600,6300,1900,18256,83756,2244,4.9,1
2021-11,2021,11,Nov,COHORT_004,Tier 1,86000,14300,24000,4300,3200,3400,9000,5700,3000,19815,86715,0,5.24,1
2021-12,2021,12,Dec,COHORT_004,Tier 1,86000,12700,24000,4300,2500,3400,4600,4200,2600,0,58300,27700,4.94,0
2022-01,2022,1,Jan,COHORT_004,Tier 1,93000,15200,26000,4600,3400,3700,5500,5300,3000,0,66700,26300,6.36,0
2022-02,2022,2,Feb,COHORT_004,Tier 1,93000,13600,26000,4600,3500,3700,5600,4700,2100,0,63800,29200,7.0,0
2022-03,2022,3,Mar,COHORT_004,Tier 1,93000,14200,26000,4600,2400,3700,6600,6000,1900,16789,82189,10811,7.0,1
2022-04,2022,4,Apr,COHORT_004,Tier 1,93000,13800,26000,4600,3500,3700,5400,4200,1900,0,63100,29900,6.98,0
2022-05,2022,5,May,COHORT_004,Tier 1,93000,14900,26000,6500,3200,3700,6100,5300,2900,0,68600,24400,6.9,0
2022-06,2022,6,Jun,COHORT_004,Tier 1,93000,14900,26000,6500,2400,9300,5000,4600,2400,0,71100,21900,7.03,0
2022-07,2022,7,Jul,COHORT_004,Tier 1,93000,16500,26000,6500,2600,9300,4300,4600,2600,0,72400,20600,6.68,0
